id,title,price_raw,price,price_original_raw,price_original,discount_percent,url,image_small,image_large,description,promo_type,scrape_date
5312,"LA ROCHE-POSAYCrème ""Effaclar DUO (+) SPF30 "" 40ML","77,900TND",77.9,"97,400TND",97.4,20.0,https://beautystore.tn/promos/5312-crème-effaclar-duo-spf30--40ml-3337875549493.html,https://beautystore.tn/21721-home_default/crème-effaclar-duo-spf30--40ml.jpg,https://beautystore.tn/21721-large_default/crème-effaclar-duo-spf30--40ml.jpg,"La crème ""Effaclar DUO (+) SPF30"" la roche posay est un soin ciblé qui lutte contre les imperfections tout en protégeant la peau des agressions extérieures. Sa formule innovante hydrate et purifie, tout en offrant une protection solaire efficace. contenance : 40 ml",Standard,2025-11-24
5311,"PHYTEALCrème Hydratante Réparatrice ""Cicamax"" 30ml","19,900TND",19.9,,,0.0,https://beautystore.tn/soin-spécifique-corps-anti-vergetures/5311-crème-hydratante-réparatrice-cicamax-30ml-6192419805094.html,https://beautystore.tn/21714-home_default/crème-hydratante-réparatrice-cicamax-30ml.jpg,https://beautystore.tn/21714-large_default/crème-hydratante-réparatrice-cicamax-30ml.jpg,"La Crème Hydratante Réparatrice ""Cicamax"" de Phyteal est spécialement formulée pour apaiser, hydrater et réparer la peau fragilisée cicatrices , épilation , laser , vergeture , brulures  légères , zones irrités. Avec sa texture légère, elle pénètre rapidement tout en offrant une protection durable. Idéale pour les peaux sensibles, cette crème contribue à restaurer le confort et la douceur de votre épiderme.",Standard,2025-11-24
5295,"SVRPhysiopure ""Gelée Moussante"" 400ML","55,900TND",55.9,"69,900TND",69.9,20.0,https://beautystore.tn/demaquillant-nettoyant/5295-physiopure-gelée-moussante-400ml-3662361003808.html,https://beautystore.tn/21634-home_default/physiopure-gelée-moussante-400ml.jpg,https://beautystore.tn/21634-large_default/physiopure-gelée-moussante-400ml.jpg,"PHYSIOPURE Gelée Moussante est une gelée purifiante et rafraichissante qui ne déssèche pas la peau. Toute en légèreté, elle se transforme en mousse pour un nettoyage haute sensorialité ! contenance : 400ml",Standard,2025-11-24
5200,"LES ESSENTIELLES LABGummies ""Sommeil""","69,900TND",69.9,,,0.0,https://beautystore.tn/complement-alimentaire/5200-gummies-sommeil.html,https://beautystore.tn/21075-home_default/gummies-sommeil.jpg,https://beautystore.tn/21075-large_default/gummies-sommeil.jpg,"Découvrez nos Gummies Sommeil , un complément alimentaire conçu pour vous offrir des nuits paisibles. Grâce à un dosage optimal en mélatonine et en extraits de plantes, il vous suffit de prendre 1 gummy 30 minutes avant le coucher pour vous relaxer et dormir comme un bébé. Avec leur délicieux goût de fruits de bois, ces gummies vous aideront à profiter d'un endormissement rapide et d'un sommeil réparateur. Chaque boîte contient 60 Gummies, idéales pour retrouver un sommeil de qualité nuit après nuit.",Standard,2025-11-24
5137,"PHYTEALDéodorant ""Roll-On Anti-Transpirant"" 50ML","19,900TND",19.9,,,0.0,https://beautystore.tn/deodorant/5137-déodorant-roll-on-anti-transpirant-50ml-6192419804431.html,https://beautystore.tn/20590-home_default/déodorant-roll-on-anti-transpirant-50ml.jpg,https://beautystore.tn/20590-large_default/déodorant-roll-on-anti-transpirant-50ml.jpg,"Formulé à partir de d’extrait d’aloé vera, le DEODORANT anti-transpirant des Laboratoires Phytéal a été conçu spécialement pour réguler la transpiration et l’hypersudation. Grâce à l’oxyde de zinc, il apportera un effet désodorisant toute la journée. Sans sels d’aluminium et sans alcool, il protégera les peaux ultra-sensibles des aisselles après le rasage ou l’épilation Contenance Roll on 50 ml",Standard,2025-11-24
5125,"PHYTEALGel Apaisant ""PHYTOVERA"" 50ML","12,900TND",12.9,,,0.0,https://beautystore.tn/soin-spécifique-corps-anti-vergetures/5125-gel-apaisant-phytovera-50ml-6192419804943.html,https://beautystore.tn/20575-home_default/gel-apaisant-phytovera-50ml.jpg,https://beautystore.tn/20575-large_default/gel-apaisant-phytovera-50ml.jpg,"Le Gel Apaisant PHYTOVERA 50 ml de PHYTEAL adoucit, soulage et réhydrate la peau. Ce gel 50ml polyvalent convient à toute la famille, y compris les bébés, enfants, adultes et femmes enceintes. Sa formule hypoallergénique et non comédogène assure une utilisation sans risque sur les peaux sensibles.",Standard,2025-11-24
5124,"PHYTEALGel Apaisant ""PHYTOVERA"" 100ML","20,900TND",20.9,,,0.0,https://beautystore.tn/soin-spécifique-corps-anti-vergetures/5124-gel-apaisant-phytovera-100ml-6192419804141.html,https://beautystore.tn/20573-home_default/gel-apaisant-phytovera-100ml.jpg,https://beautystore.tn/20573-large_default/gel-apaisant-phytovera-100ml.jpg,"Le Gel Apaisant PHYTOVERA de PHYTEAL adoucit, soulage et réhydrate la peau. Idéal pour toute la famille, ce gel en 100ml convient aux bébés, enfants, adultes et femmes enceintes. Sa formule hypoallergénique assure une utilisation sans risque sur les peaux sensibles.",Standard,2025-11-24
5076,"ZYNIADéodorant Roll-On ""Secret de Muguet"" 50ML","7,900TND",7.9,,,0.0,https://beautystore.tn/deodorant/5076-déodorant-roll-on-secret-de-muguet-50ml.html,https://beautystore.tn/20334-home_default/déodorant-roll-on-secret-de-muguet-50ml.jpg,https://beautystore.tn/20334-large_default/déodorant-roll-on-secret-de-muguet-50ml.jpg,"Déodorant Roll-On  secret du muguet ZYNIA est conçu pour offrir une protection efficace et douce, tout en respectant la peau. Ce déodorant, sans gaz propulseur, est parfait pour les peaux sensibles. Enrichi en extrait de muguet , il procure une sensation délicate et un parfum qui apaise les sens avec une contenance de 50 ml .",Standard,2025-11-24
5066,"LA ROCHE-POSAYSérum Ultra Concentré ""Effaclar"" 30ML","154,700TND",154.7,"182,000TND",182.0,15.0,https://beautystore.tn/soin-hydratant-specifique/5066-sérum-ultra-concentré-effaclar-30ml-3337875722827.html,https://beautystore.tn/20311-home_default/sérum-ultra-concentré-effaclar-30ml.jpg,https://beautystore.tn/20311-large_default/sérum-ultra-concentré-effaclar-30ml.jpg,"Le sérum visage ultra-concentré Effaclar cible les imperfections et les points noirs, offrant une action semblable à un peeling quotidien pour les peaux à tendance acnéique chez l'adulte.",Standard,2025-11-24
5065,"LA ROCHE-POSAYHyalu B5 ""Aquagel Spf30"" 50ML","164,900TND",164.9,"206,000TND",206.0,20.0,https://beautystore.tn/promos/5065-hyalu-b5-aquagel-spf30-50ml-3337875760201.html,https://beautystore.tn/20309-home_default/hyalu-b5-aquagel-spf30-50ml.jpg,https://beautystore.tn/20309-large_default/hyalu-b5-aquagel-spf30-50ml.jpg,"Gel-crème hydratant anti-photovieillissement enrichi en acide hyaluronique et doté d'une protection solaire SPF30. Formulé pour les peaux présentant des signes de photovieillissement dus aux agressions extérieures telles que les rayons UVB & UVA et la pollution. Combat la perte de volume et d'élasticité, tout en ravivant le teint pour un aspect revitalisé et éclatant. Contenance: 50 ml",Standard,2025-11-24
