,R2_log,R2_std,RMSE_log,MAE_log,RMSE_actual,MAE_actual,MAPE
XGBoost,0.9383128881080411,0.008574374067686975,0.3094049039108712,0.20625994720669705,518469.4916375306,159388.82978795195,71.78736737234895
Gradient Boosting,0.9383119615138658,0.008315631204069302,0.3094072276677828,0.20712400411255252,518260.2529801797,160183.54916739123,71.87449066047361
MLP,0.9361498979567224,0.0086444670520032,0.3147826388530369,0.21138829444755158,516499.0296851975,161012.08441744838,73.73989177363266
Random Forest,0.935878046922952,0.00814942394447583,0.3154520433687627,0.21313262476289258,519278.53953517263,161379.90770592692,73.68738320401305
Decision Tree,0.9341448869268012,0.007958287915147747,0.31968681427421947,0.21949505185768478,521863.7506243906,167680.93055264396,75.29814623801903
