,R2_log,R2_std,RMSE_log,MAE_log,RMSE_actual,MAE_actual,MAPE
XGBoost,0.9753865574141851,0.0018207440972803624,0.19544121527210914,0.13408810628342765,327657.1441411812,84232.87027265686,39.10396619582316
Gradient Boosting,0.9750545661680404,0.0018595364709875853,0.19675487630910446,0.13544447049663136,327242.86083458056,84847.08199735793,39.66243272754703
Random Forest,0.9738059520731525,0.002394859838520884,0.20161891944083468,0.13713500687065086,350825.0532897404,84534.39490803971,40.61789808629282
MLP,0.973567984688791,0.0012095716726765694,0.20253268141593583,0.13927192186367807,333122.73425023805,88812.93486102264,40.526863531370644
Decision Tree,0.9723917624448966,0.00255652904818501,0.20698997664675636,0.14166963994631895,333455.05597037816,85870.83985243319,41.971941228558066
