id,title,category,price_raw,price,price_original_raw,price_original,discount_percent,url,image_small,image_large,description,promo_type,scrape_date
817,QBD Vernis Permanent N° 078 (15ml),Vernis Permanents,"15,500 TND",15.5,,,0.0,https://cherrybeauty.tn/817-qbd-vernis-permanent-n°-078-15ml.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/1813-home_default/qbd-vernis-permanent-n°-078-15ml.jpg,QBD Vernis Permanent N° 078 (15ml),Standard,2025-11-24
4261,Essence Vernis à Ongles 068 Peach Club,Vernis à Ongles,"6,900 TND",6.9,,,0.0,https://cherrybeauty.tn/4261-essence-vernis-a-ongles-068-peach-club.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/7386-home_default/essence-vernis-a-ongles-068-peach-club.jpg,Essence Vernis à Ongles 068 Peach Club,Standard,2025-11-24
818,QBD Vernis Permanent N° 080 (15ml),Vernis Permanents,"15,500 TND",15.5,,,0.0,https://cherrybeauty.tn/818--qbd-vernis-permanent-n°-080-15ml.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/1815-home_default/-qbd-vernis-permanent-n°-080-15ml.jpg,QBD Vernis Permanent N° 080 (15ml),Standard,2025-11-24
4262,Essence Vernis à Ongles 044 Grape a Coffee,Vernis à Ongles,"6,900 TND",6.9,,,0.0,https://cherrybeauty.tn/4262-essence-vernis-a-ongles-044-grape-a-coffee.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/7387-home_default/essence-vernis-a-ongles-044-grape-a-coffee.jpg,Essence Vernis à Ongles 044 Grape a Coffee,Standard,2025-11-24
819,QBD Vernis Permanent N° 081 (15ml),Vernis Permanents,"15,500 TND",15.5,,,0.0,https://cherrybeauty.tn/819-qbd-vernis-permanent-n°-081-15ml.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/1817-home_default/qbd-vernis-permanent-n°-081-15ml.jpg,QBD Vernis Permanent N° 081 (15ml),Standard,2025-11-24
4263,Essence Vernis à Ongles 037 Always on Taupe,Vernis à Ongles,"6,900 TND",6.9,,,0.0,https://cherrybeauty.tn/4263-essence-vernis-a-ongles-037-always-on-taupe.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/7388-home_default/essence-vernis-a-ongles-037-always-on-taupe.jpg,Essence Vernis à Ongles 037 Always on Taupe,Standard,2025-11-24
820,QBD Vernis Permanent N° 082 (15ml),Vernis Permanents,"15,500 TND",15.5,,,0.0,https://cherrybeauty.tn/820-qbd-vernis-permanent-n°-082-15ml.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/1819-home_default/qbd-vernis-permanent-n°-082-15ml.jpg,QBD Vernis Permanent N° 082 (15ml),Standard,2025-11-24
4264,Essence Vernis à Ongles 039 Lucky to Have Blue,Vernis à Ongles,"6,900 TND",6.9,,,0.0,https://cherrybeauty.tn/4264-essence-vernis-a-ongles-039-lucky-to-have-blue.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/7389-home_default/essence-vernis-a-ongles-039-lucky-to-have-blue.jpg,Essence Vernis à Ongles 039 Lucky to Have Blue,Standard,2025-11-24
821,QBD Vernis Permanent N° 084 (15ml),Vernis Permanents,"15,500 TND",15.5,,,0.0,https://cherrybeauty.tn/821-qbd-vernis-permanent-n°-084-15ml.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/1821-home_default/qbd-vernis-permanent-n°-084-15ml.jpg,QBD Vernis Permanent N° 084 (15ml),Standard,2025-11-24
4265,Essence Vernis à Ongles 047 Pink Ink,Vernis à Ongles,"6,900 TND",6.9,,,0.0,https://cherrybeauty.tn/4265-essence-vernis-a-ongles-047-pink-ink.html,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAICAgICAgICAgIDAgICAwQDAgIDBAQEBAQEBAQGBAUFBQUEBgYHBwcHBwYJCQoKCQkMDAwMDAwMDAwMDAwMDAz/2wBDAQIDAwUEBQkGBgkNCggKDQ8ODg4ODw8MDAwMDA8PDAwMDAwMDwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAz/wAARCAABAAEDAREAAhEBAxEB/8QAFAABAAAAAAAAAAAAAAAAAAAACf/EABQQAQAAAAAAAAAAAAAAAAAAAAD/xAAUAQEAAAAAAAAAAAAAAAAAAAAA/8QAFBEBAAAAAAAAAAAAAAAAAAAAAP/aAAwDAQACEQMRAD8AdAH/2Q==",https://cherrybeauty.tn/7390-home_default/essence-vernis-a-ongles-047-pink-ink.jpg,Essence Vernis à Ongles 047 Pink Ink,Standard,2025-11-24
